ticker_or_identifier,name,cik,form_type,filed_at,period_of_report,accession_no,primary_document,primary_doc_description,items,url
0001681348,VivoPower PLC,1681348,6-K,2021-05-24,2021-05-24,0001437749-21-013091,vpip20210524_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921013091/vpip20210524_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-05-19,2021-05-19,0001437749-21-012759,vpip20210519_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921012759/vpip20210519_6k.htm
0001681348,VivoPower PLC,1681348,CORRESP,2021-05-14,,0001437749-21-012351,filename1.htm,,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921012351/filename1.htm
0001681348,VivoPower PLC,1681348,6-K,2021-05-10,2021-05-10,0001437749-21-011430,vpip20210510_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921011430/vpip20210510_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-05-04,2021-05-04,0001437749-21-010698,vpip20210504_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921010698/vpip20210504_6k.htm
0001681348,VivoPower PLC,1681348,UPLOAD,2021-04-29,,0000000000-21-005506,filename1.pdf,,,https://www.sec.gov/Archives/edgar/data/1681348/000000000021005506/filename1.pdf
0001681348,VivoPower PLC,1681348,6-K,2021-04-22,2021-04-22,0001437749-21-009549,vpip20210421_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921009549/vpip20210421_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-03-30,2021-03-30,0001437749-21-007590,vpip20210330_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921007590/vpip20210330_6k.htm
0001681348,VivoPower PLC,1681348,CORRESP,2021-03-25,,0001437749-21-007138,filename1.htm,,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921007138/filename1.htm
0001681348,VivoPower PLC,1681348,6-K,2021-03-16,2021-03-16,0001437749-21-006106,vpip20210316_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921006106/vpip20210316_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-03-12,2021-03-12,0001437749-21-005816,vpip20210312_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921005816/vpip20210312_6k.htm
0001681348,VivoPower PLC,1681348,CORRESP,2021-03-11,,0001437749-21-005710,filename1.htm,,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921005710/filename1.htm
0001681348,VivoPower PLC,1681348,6-K,2021-03-10,2021-03-10,0001437749-21-005475,vpip20210310_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921005475/vpip20210310_6k.htm
0001681348,VivoPower PLC,1681348,UPLOAD,2021-03-01,,0000000000-21-002415,filename1.pdf,,,https://www.sec.gov/Archives/edgar/data/1681348/000000000021002415/filename1.pdf
0001681348,VivoPower PLC,1681348,6-K,2021-02-25,2021-02-24,0001437749-21-004001,vpip20210224b_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921004001/vpip20210224b_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-02-24,2021-02-24,0001437749-21-003964,vpip20210223_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921003964/vpip20210223_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-02-24,2021-02-24,0001437749-21-003869,vpip20210224_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921003869/vpip20210224_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-02-17,2021-02-17,0001437749-21-003056,vpip20210217_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921003056/vpip20210217_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-02-10,2021-02-10,0001437749-21-002399,vpip20210210_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921002399/vpip20210210_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-02-08,2021-02-05,0001437749-21-002130,vpip20210205_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921002130/vpip20210205_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-02-02,2021-02-02,0001437749-21-001719,vpip20210202_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921001719/vpip20210202_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-01-27,2021-01-27,0001437749-21-001343,vpip20210127_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921001343/vpip20210127_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-01-25,2021-01-25,0001437749-21-001146,vpip20210125_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921001146/vpip20210125_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-01-13,2021-01-13,0001437749-21-000611,vpip20210113_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921000611/vpip20210113_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2021-01-08,2021-01-08,0001437749-21-000376,vpip20210108_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774921000376/vpip20210108_6k.htm
0001681348,VivoPower PLC,1681348,6-K,2020-12-30,2020-12-30,0001437749-20-026095,vpip20201230_6k.htm,FORM 6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000143774920026095/vpip20201230_6k.htm
0001681348,VivoPower PLC,1681348,EFFECT,2020-12-23,,9999999995-20-003659,xslEFFECTX01/primary_doc.xml,,"F-3,,2020-12-23 17:00:00",https://www.sec.gov/Archives/edgar/data/1681348/999999999520003659/xslEFFECTX01/primary_doc.xml
